Flow Card?,Bags Checked,Meal Type,Date,Flight Number,Class,Price,From,To
No,3,Vegetarian,2024-01-12,PA008,Business Class,601.1999999999999,Perth,New York
No,1,Vegan,2024-06-13,PA003,Premium Economy,1382.5,London,Perth
No,2,Nut Free,2024-04-01,PA007,First Class,359.0,New York,Perth
No,0,Dairy Free,2024-03-22,PA010,Premium Economy,1135.0,Tokyo,New York
No,2,Vegetarian,2024-01-18,PA010,First Class,415.0,Tokyo,New York
No,0,Egg Free,2024-12-12,PA006,Economy,1640.0,Tokyo,London
No,1,Egg Free,2024-12-07,PA009,First Class,662.0,New York,Tokyo
No,2,,2024-11-03,PA012,First Class,242.0,Tokyo,Perth
No,1,Dairy Free,2024-09-22,PA009,Economy,1690.0,New York,Tokyo
No,3,Egg Free,2024-06-07,PA007,Premium Economy,570.0,New York,Perth
No,3,Vegetarian,2024-06-24,PA012,Premium Economy,1597.5,Tokyo,Perth
No,2,Vegan,2024-04-06,PA005,Economy,2465.0,London,Tokyo
No,2,Vegetarian,2024-09-11,PA007,Business Class,602.4,New York,Perth
No,0,Egg Free,2024-08-30,PA002,Economy,3095.0,New York,London
No,1,Vegan,2024-11-05,PA002,First Class,652.0,New York,London
No,2,Nut Free,2024-08-07,PA010,Business Class,392.4,Tokyo,New York
No,1,Vegan,2024-06-03,PA007,Premium Economy,1390.0,New York,Perth
No,2,Vegetarian,2024-11-21,PA003,First Class,599.0,London,Perth
No,1,,2024-02-16,PA009,Premium Economy,675.0,New York,Tokyo
No,2,,2024-05-30,PA007,Business Class,417.59999999999997,New York,Perth
No,2,Vegan,2024-12-27,PA012,First Class,606.0,Tokyo,Perth
No,0,Egg Free,2024-10-31,PA008,Economy,1785.0,Perth,New York
No,2,Vegetarian,2024-02-14,PA007,Business Class,408.0,New York,Perth
No,3,Vegan,2024-08-24,PA003,First Class,294.0,London,Perth
No,2,Dairy Free,2024-11-22,PA012,Business Class,598.8,Tokyo,Perth
No,3,Egg Free,2024-03-27,PA003,Business Class,756.0,London,Perth
No,1,Nut Free,2024-04-30,PA012,Economy,1600.0,Tokyo,Perth
No,0,Vegetarian,2024-09-06,PA006,First Class,489.0,Tokyo,London
No,2,Vegetarian,2024-02-01,PA005,Premium Economy,1480.0,London,Tokyo
No,3,Egg Free,2024-11-25,PA012,Premium Economy,1432.5,Tokyo,Perth
No,2,Dairy Free,2024-05-12,PA012,Business Class,744.0,Tokyo,Perth
No,1,Vegetarian,2024-07-16,PA010,Economy,1460.0,Tokyo,New York
No,3,Vegetarian,2024-08-19,PA006,Economy,2000.0,Tokyo,London
No,3,,2024-08-01,PA011,Business Class,452.4,Perth,Tokyo
No,2,Vegan,2024-12-28,PA001,Economy,1105.0,London,New York
No,2,Egg Free,2024-11-02,PA006,Economy,2225.0,Tokyo,London
No,0,Nut Free,2024-09-25,PA007,Premium Economy,522.5,New York,Perth
No,3,Nut Free,2024-07-01,PA012,Business Class,655.1999999999999,Tokyo,Perth
No,0,Nut Free,2024-12-20,PA004,Business Class,760.8,Perth,London
No,1,Nut Free,2024-07-24,PA005,Business Class,246.0,London,Tokyo
No,3,,2024-12-25,PA002,Economy,2905.0,New York,London
No,1,Vegan,2024-08-18,PA005,Economy,1975.0,London,Tokyo
No,1,Dairy Free,2024-01-12,PA011,Business Class,780.0,Perth,Tokyo
No,1,Egg Free,2024-12-03,PA011,Premium Economy,945.0,Perth,Tokyo
No,2,Dairy Free,2024-12-30,PA011,Premium Economy,745.0,Perth,Tokyo
No,1,Vegan,2024-05-06,PA004,First Class,318.0,Perth,London
No,1,Vegetarian,2024-10-09,PA007,Premium Economy,875.0,New York,Perth
No,3,Vegetarian,2024-02-17,PA008,Economy,1340.0,Perth,New York
No,0,Egg Free,2024-10-27,PA005,First Class,683.0,London,Tokyo
No,0,,2024-06-18,PA001,Business Class,280.8,London,New York
No,2,,2024-12-05,PA009,Business Class,799.1999999999999,New York,Tokyo
No,3,Vegetarian,2024-12-31,PA010,Premium Economy,690.0,Tokyo,New York
No,3,Vegetarian,2024-02-08,PA006,Business Class,534.0,Tokyo,London
No,0,,2024-02-21,PA004,First Class,317.0,Perth,London
No,0,Dairy Free,2024-05-01,PA011,Economy,2780.0,Perth,Tokyo
No,0,Vegan,2024-10-10,PA009,Business Class,718.8,New York,Tokyo
No,1,Nut Free,2024-07-05,PA007,Business Class,838.8,New York,Perth
No,1,Vegan,2024-02-10,PA005,Business Class,574.8,London,Tokyo
No,0,,2024-06-09,PA001,Premium Economy,1045.0,London,New York
No,3,Dairy Free,2024-02-04,PA005,Business Class,328.8,London,Tokyo
No,3,Egg Free,2024-07-12,PA004,Economy,2430.0,Perth,London
No,2,Nut Free,2024-02-08,PA008,Business Class,506.4,Perth,New York
No,1,Vegan,2024-10-21,PA008,Premium Economy,1677.5,Perth,New York
No,2,Vegetarian,2024-04-20,PA003,Economy,2030.0,London,Perth
No,3,,2024-06-26,PA004,Business Class,632.4,Perth,London
No,1,Nut Free,2024-12-31,PA001,First Class,598.0,London,New York
No,3,Dairy Free,2024-10-24,PA002,First Class,691.0,New York,London
No,1,Vegan,2024-06-25,PA009,First Class,224.0,New York,Tokyo
No,0,Vegan,2024-10-27,PA012,Premium Economy,1357.5,Tokyo,Perth
No,3,Dairy Free,2024-04-23,PA004,First Class,276.0,Perth,London
No,1,,2024-10-21,PA010,Premium Economy,1125.0,Tokyo,New York
No,3,,2024-03-20,PA005,Premium Economy,1577.5,London,Tokyo
No,2,Dairy Free,2024-05-10,PA010,Economy,1820.0,Tokyo,New York
No,1,Vegan,2024-03-19,PA012,Economy,2145.0,Tokyo,Perth
No,1,Dairy Free,2024-10-30,PA011,Economy,2500.0,Perth,Tokyo
No,0,Vegan,2024-07-05,PA004,Premium Economy,1242.5,Perth,London
No,2,Nut Free,2024-04-20,PA009,Economy,2535.0,New York,Tokyo
No,3,Dairy Free,2024-11-28,PA009,Business Class,240.0,New York,Tokyo
No,3,Vegetarian,2024-08-16,PA011,Economy,1810.0,Perth,Tokyo
No,0,Vegetarian,2024-12-29,PA005,Business Class,745.1999999999999,London,Tokyo
No,0,Dairy Free,2024-06-01,PA012,First Class,368.0,Tokyo,Perth
No,3,,2024-08-26,PA009,Premium Economy,1452.5,New York,Tokyo
No,2,Dairy Free,2024-05-25,PA006,First Class,336.0,Tokyo,London
No,3,Vegan,2024-11-11,PA001,Premium Economy,1680.0,London,New York
No,1,Dairy Free,2024-04-04,PA010,First Class,266.0,Tokyo,New York
No,2,Nut Free,2024-10-24,PA003,Economy,3235.0,London,Perth
No,0,Vegan,2024-06-27,PA011,First Class,358.0,Perth,Tokyo
No,3,Egg Free,2024-08-08,PA011,Business Class,258.0,Perth,Tokyo
No,0,Nut Free,2024-08-10,PA011,Premium Economy,1512.5,Perth,Tokyo
No,3,,2024-05-13,PA009,Premium Economy,1160.0,New York,Tokyo
No,1,Nut Free,2024-04-05,PA012,First Class,336.0,Tokyo,Perth
No,1,Egg Free,2024-06-22,PA007,Premium Economy,1127.5,New York,Perth
No,3,Vegan,2024-09-13,PA001,Economy,2270.0,London,New York
No,3,Vegan,2024-02-26,PA002,Premium Economy,1382.5,New York,London
No,3,Vegan,2024-04-03,PA008,First Class,548.0,Perth,New York
No,3,Egg Free,2024-06-06,PA004,Economy,3120.0,Perth,London
No,3,Vegetarian,2024-12-27,PA001,Economy,1390.0,London,New York
No,3,Nut Free,2024-04-18,PA005,Premium Economy,927.5,London,Tokyo
No,0,Vegan,2024-03-16,PA009,Economy,1235.0,New York,Tokyo
No,1,Dairy Free,2024-06-07,PA008,Business Class,735.6,Perth,New York
No,3,Vegetarian,2024-08-26,PA007,Economy,3360.0,New York,Perth
No,0,Egg Free,2024-12-13,PA006,Economy,2715.0,Tokyo,London
No,1,,2024-09-23,PA001,Economy,2400.0,London,New York
No,3,Nut Free,2024-07-09,PA009,Economy,1815.0,New York,Tokyo
No,0,Vegan,2024-06-15,PA003,Economy,2600.0,London,Perth
No,2,Nut Free,2024-10-13,PA012,Premium Economy,1092.5,Tokyo,Perth
No,0,,2024-12-11,PA010,Premium Economy,1572.5,Tokyo,New York
No,3,Nut Free,2024-12-31,PA010,Economy,1355.0,Tokyo,New York
No,0,Vegan,2024-06-10,PA002,Business Class,642.0,New York,London
No,2,Dairy Free,2024-11-11,PA006,First Class,565.0,Tokyo,London
No,0,Vegetarian,2024-09-14,PA008,Premium Economy,1070.0,Perth,New York
No,2,Nut Free,2024-07-05,PA011,Economy,2490.0,Perth,Tokyo
No,3,Vegetarian,2024-12-03,PA011,Economy,2195.0,Perth,Tokyo
No,2,,2024-09-25,PA001,Premium Economy,1375.0,London,New York
No,3,,2024-07-20,PA009,First Class,470.0,New York,Tokyo
No,1,Vegetarian,2024-10-25,PA001,First Class,633.0,London,New York
No,0,Dairy Free,2024-04-08,PA002,Business Class,752.4,New York,London
No,2,Vegan,2024-03-16,PA012,First Class,618.0,Tokyo,Perth
No,1,,2024-08-05,PA012,Economy,3475.0,Tokyo,Perth
No,2,Egg Free,2024-08-29,PA006,Premium Economy,670.0,Tokyo,London
No,1,Vegetarian,2024-06-13,PA007,Business Class,402.0,New York,Perth
No,0,Nut Free,2024-11-06,PA011,Business Class,271.2,Perth,Tokyo
No,0,Nut Free,2024-05-04,PA005,Economy,1205.0,London,Tokyo
No,0,,2024-02-28,PA007,Business Class,645.6,New York,Perth
No,3,Nut Free,2024-07-27,PA012,Business Class,466.79999999999995,Tokyo,Perth
No,2,Vegetarian,2024-11-27,PA011,Economy,1210.0,Perth,Tokyo
No,0,Egg Free,2024-08-20,PA006,Business Class,504.0,Tokyo,London
No,0,Vegetarian,2024-11-30,PA002,Premium Economy,1327.5,New York,London
No,1,Vegan,2024-04-14,PA007,Economy,2650.0,New York,Perth
No,3,Dairy Free,2024-04-10,PA003,First Class,376.0,London,Perth
No,0,Vegetarian,2024-03-29,PA007,Business Class,730.8,New York,Perth
No,2,,2024-06-12,PA008,Business Class,820.8,Perth,New York
No,3,Egg Free,2024-01-26,PA011,Premium Economy,1627.5,Perth,Tokyo
No,1,Vegetarian,2024-06-13,PA005,Economy,3045.0,London,Tokyo
No,0,Nut Free,2024-09-02,PA006,Economy,1265.0,Tokyo,London
No,0,Vegan,2024-01-12,PA009,Premium Economy,1230.0,New York,Tokyo
No,3,,2024-02-06,PA003,Business Class,742.8,London,Perth
No,0,Vegan,2024-03-20,PA009,Premium Economy,722.5,New York,Tokyo
No,1,Nut Free,2024-04-23,PA003,Economy,1915.0,London,Perth
No,0,Nut Free,2024-02-03,PA004,Economy,2150.0,Perth,London
No,1,,2024-01-11,PA005,Premium Economy,542.5,London,Tokyo
No,1,Egg Free,2024-12-03,PA012,First Class,681.0,Tokyo,Perth
No,0,Vegetarian,2024-10-21,PA008,Business Class,793.1999999999999,Perth,New York
No,3,,2024-02-11,PA012,First Class,453.0,Tokyo,Perth
No,1,Nut Free,2024-09-01,PA006,Economy,2645.0,Tokyo,London
No,0,Dairy Free,2024-01-26,PA001,Economy,1185.0,London,New York
No,0,Nut Free,2024-10-29,PA002,Premium Economy,1627.5,New York,London
No,3,Egg Free,2024-06-27,PA012,Premium Economy,1260.0,Tokyo,Perth
No,2,Egg Free,2024-04-10,PA007,Economy,1935.0,New York,Perth
No,0,Egg Free,2024-04-16,PA007,First Class,425.0,New York,Perth
No,0,Dairy Free,2024-08-02,PA003,Business Class,273.59999999999997,London,Perth
No,0,Egg Free,2024-09-08,PA012,First Class,389.0,Tokyo,Perth
No,1,Dairy Free,2024-09-15,PA001,Business Class,392.4,London,New York
No,0,Vegetarian,2024-01-04,PA010,Economy,2495.0,Tokyo,New York
No,3,Egg Free,2024-04-24,PA008,Business Class,532.8,Perth,New York
No,2,Nut Free,2024-08-27,PA001,First Class,421.0,London,New York
No,3,,2024-04-23,PA001,Business Class,246.0,London,New York
No,3,Egg Free,2024-08-07,PA006,Premium Economy,607.5,Tokyo,London
No,3,Nut Free,2024-12-09,PA009,Economy,1995.0,New York,Tokyo
No,3,,2024-05-22,PA009,First Class,389.0,New York,Tokyo
No,2,Vegetarian,2024-04-19,PA010,First Class,601.0,Tokyo,New York
No,0,Vegan,2024-12-05,PA002,First Class,665.0,New York,London
No,3,Vegetarian,2024-07-28,PA006,Premium Economy,1180.0,Tokyo,London
No,1,Vegan,2024-07-11,PA009,Premium Economy,1402.5,New York,Tokyo
No,1,Egg Free,2024-02-25,PA002,Economy,1690.0,New York,London
No,2,,2024-12-16,PA010,Business Class,331.2,Tokyo,New York
No,1,Vegan,2024-04-14,PA004,Economy,1315.0,Perth,London
No,1,Vegan,2024-11-30,PA002,Business Class,634.8,New York,London
No,1,,2024-05-14,PA012,Business Class,811.1999999999999,Tokyo,Perth
No,1,Vegan,2024-06-06,PA011,Economy,1000.0,Perth,Tokyo
No,0,Nut Free,2024-02-28,PA010,Economy,1105.0,Tokyo,New York
No,3,Vegan,2024-03-09,PA004,Economy,2160.0,Perth,London
No,0,Dairy Free,2024-01-26,PA009,Economy,3150.0,New York,Tokyo
No,1,Vegetarian,2024-07-17,PA001,First Class,210.0,London,New York
No,1,Vegan,2024-08-19,PA007,Premium Economy,862.5,New York,Perth
No,0,Dairy Free,2024-01-02,PA011,First Class,495.0,Perth,Tokyo
No,2,,2024-11-24,PA010,Premium Economy,1155.0,Tokyo,New York
No,2,Nut Free,2024-02-22,PA011,Business Class,534.0,Perth,Tokyo
No,3,Nut Free,2024-12-25,PA012,First Class,506.0,Tokyo,Perth
No,2,,2024-09-21,PA008,Business Class,445.2,Perth,New York
No,2,Vegan,2024-05-27,PA004,Economy,3020.0,Perth,London
No,3,Dairy Free,2024-10-30,PA008,Business Class,423.59999999999997,Perth,New York
No,0,Vegan,2024-05-03,PA012,Economy,1395.0,Tokyo,Perth
No,2,Nut Free,2024-03-29,PA001,First Class,208.0,London,New York
No,0,Vegan,2024-10-25,PA010,Business Class,382.8,Tokyo,New York
No,1,Dairy Free,2024-08-07,PA004,Premium Economy,710.0,Perth,London
No,3,Nut Free,2024-07-13,PA005,Premium Economy,927.5,London,Tokyo
No,0,Nut Free,2024-05-20,PA004,Business Class,807.6,Perth,London
No,0,Egg Free,2024-09-19,PA012,Premium Economy,717.5,Tokyo,Perth
No,1,Vegetarian,2024-11-10,PA011,First Class,266.0,Perth,Tokyo
No,3,Egg Free,2024-12-17,PA011,Business Class,272.4,Perth,Tokyo
No,2,Egg Free,2024-11-10,PA007,Business Class,646.8,New York,Perth
No,3,Nut Free,2024-04-21,PA003,First Class,594.0,London,Perth
No,0,,2024-01-18,PA005,First Class,649.0,London,Tokyo
No,2,Vegan,2024-04-30,PA011,First Class,693.0,Perth,Tokyo
No,0,,2024-12-06,PA003,First Class,436.0,London,Perth
No,0,Nut Free,2024-02-11,PA005,First Class,427.0,London,Tokyo
No,2,Dairy Free,2024-05-19,PA011,First Class,660.0,Perth,Tokyo
No,0,Vegan,2024-01-23,PA010,Business Class,554.4,Tokyo,New York
No,1,Nut Free,2024-10-07,PA006,Premium Economy,1572.5,Tokyo,London
No,0,Egg Free,2024-07-02,PA007,Business Class,338.4,New York,Perth
No,2,,2024-03-13,PA008,Premium Economy,662.5,Perth,New York
No,0,Dairy Free,2024-07-22,PA010,Premium Economy,1540.0,Tokyo,New York
No,3,Egg Free,2024-05-07,PA012,Business Class,609.6,Tokyo,Perth
No,0,Vegan,2024-06-10,PA011,Premium Economy,1260.0,Perth,Tokyo
No,0,Vegan,2024-01-25,PA001,First Class,224.0,London,New York
No,0,Vegetarian,2024-06-15,PA009,First Class,470.0,New York,Tokyo
No,0,Nut Free,2024-07-20,PA010,Economy,2535.0,Tokyo,New York
No,1,,2024-11-06,PA001,Premium Economy,965.0,London,New York
No,1,Nut Free,2024-06-28,PA006,Economy,1885.0,Tokyo,London
No,2,Egg Free,2024-05-10,PA003,Economy,1350.0,London,Perth
No,1,Dairy Free,2024-01-16,PA009,Business Class,670.8,New York,Tokyo
No,0,,2024-01-20,PA004,First Class,470.0,Perth,London
No,2,Nut Free,2024-10-30,PA005,Premium Economy,1187.5,London,Tokyo
No,0,Dairy Free,2024-12-17,PA002,Economy,3085.0,New York,London
No,0,Nut Free,2024-04-19,PA009,Economy,2475.0,New York,Tokyo
No,0,,2024-07-02,PA001,First Class,554.0,London,New York
No,2,Egg Free,2024-09-23,PA004,Economy,3230.0,Perth,London
No,0,Vegetarian,2024-08-30,PA008,Business Class,482.4,Perth,New York
No,2,,2024-06-08,PA007,Business Class,490.79999999999995,New York,Perth
No,1,Vegetarian,2024-04-11,PA007,First Class,661.0,New York,Perth
No,3,,2024-02-13,PA003,First Class,572.0,London,Perth
No,1,Vegetarian,2024-06-20,PA011,Business Class,259.2,Perth,Tokyo
No,3,Vegetarian,2024-08-28,PA003,Economy,1475.0,London,Perth
No,0,Dairy Free,2024-04-18,PA011,Business Class,327.59999999999997,Perth,Tokyo
No,3,Dairy Free,2024-08-31,PA003,Economy,3055.0,London,Perth
No,2,,2024-04-30,PA008,Economy,3265.0,Perth,New York
No,3,Nut Free,2024-07-03,PA005,Business Class,374.4,London,Tokyo
No,1,Nut Free,2024-07-30,PA005,Premium Economy,1347.5,London,Tokyo
No,1,Nut Free,2024-12-06,PA011,Economy,2705.0,Perth,Tokyo
No,1,,2024-07-29,PA005,Business Class,262.8,London,Tokyo
No,2,Egg Free,2024-01-21,PA006,First Class,647.0,Tokyo,London
No,1,Vegetarian,2024-04-06,PA010,First Class,324.0,Tokyo,New York
No,1,Egg Free,2024-04-19,PA011,Business Class,394.8,Perth,Tokyo
No,0,,2024-01-18,PA007,First Class,554.0,New York,Perth
No,3,Vegan,2024-08-24,PA011,Business Class,780.0,Perth,Tokyo
No,3,Nut Free,2024-08-09,PA011,First Class,420.0,Perth,Tokyo
No,2,,2024-12-23,PA008,Economy,1905.0,Perth,New York
No,3,Egg Free,2024-10-27,PA006,Premium Economy,1360.0,Tokyo,London
No,0,Dairy Free,2024-12-02,PA001,Economy,2530.0,London,New York
No,1,Vegetarian,2024-03-04,PA006,Premium Economy,1257.5,Tokyo,London
No,3,Vegan,2024-09-19,PA008,First Class,495.0,Perth,New York
No,1,Nut Free,2024-12-20,PA005,First Class,646.0,London,Tokyo
No,2,Nut Free,2024-12-23,PA004,Economy,2635.0,Perth,London
No,0,Dairy Free,2024-06-18,PA001,Economy,1390.0,London,New York
No,3,Vegetarian,2024-01-17,PA006,Economy,2140.0,Tokyo,London
No,2,Egg Free,2024-12-19,PA006,First Class,296.0,Tokyo,London
No,2,Nut Free,2024-01-04,PA003,First Class,443.0,London,Perth
