Flow Card?,Bags Checked,Meal Type,Date,Flight Number,Class,Price,From,To
Yes,0,Vegetarian,2024-02-14,PA002,First Class,296.0,New York,London
Yes,3,Nut Free,2024-05-17,PA003,Business Class,379.2,London,Perth
Yes,0,Nut Free,2024-06-02,PA007,First Class,612.0,New York,Perth
Yes,3,Nut Free,2024-07-23,PA005,Premium Economy,1015.0,London,Tokyo
Yes,0,,2024-08-21,PA012,Business Class,572.4,Tokyo,Perth
Yes,1,Egg Free,2024-03-17,PA005,Economy,2380.0,London,Tokyo
Yes,0,Nut Free,2024-11-27,PA007,Premium Economy,692.5,New York,Perth
Yes,2,Vegetarian,2024-07-25,PA009,Business Class,734.4,New York,Tokyo
Yes,3,Vegetarian,2024-05-13,PA006,Premium Economy,1520.0,Tokyo,London
Yes,2,Dairy Free,2024-09-28,PA011,Premium Economy,1397.5,Perth,Tokyo
Yes,0,Dairy Free,2024-06-14,PA009,First Class,383.0,New York,Tokyo
Yes,2,Vegetarian,2024-06-08,PA007,Economy,2825.0,New York,Perth
Yes,2,Dairy Free,2024-01-09,PA002,First Class,342.0,New York,London
Yes,1,,2024-11-22,PA003,Economy,2245.0,London,Perth
Yes,2,Vegetarian,2024-09-04,PA002,Premium Economy,1387.5,New York,London
Yes,2,Egg Free,2024-09-19,PA009,Premium Economy,675.0,New York,Tokyo
Yes,3,Dairy Free,2024-02-27,PA004,First Class,535.0,Perth,London
Yes,0,Nut Free,2024-10-19,PA001,Premium Economy,545.0,London,New York
Yes,0,Dairy Free,2024-03-26,PA012,First Class,566.0,Tokyo,Perth
Yes,2,Dairy Free,2024-09-27,PA002,Premium Economy,625.0,New York,London
Yes,0,,2024-05-11,PA006,First Class,208.0,Tokyo,London
Yes,0,Vegetarian,2024-06-25,PA012,Economy,2080.0,Tokyo,Perth
Yes,0,,2024-08-03,PA002,First Class,284.0,New York,London
Yes,3,Vegetarian,2024-04-27,PA011,Economy,3245.0,Perth,Tokyo
Yes,2,Egg Free,2024-04-09,PA006,Premium Economy,710.0,Tokyo,London
Yes,3,Vegan,2024-11-19,PA003,Premium Economy,1357.5,London,Perth
Yes,1,Nut Free,2024-06-24,PA006,First Class,245.0,Tokyo,London
Yes,1,Vegetarian,2024-02-12,PA011,Business Class,505.2,Perth,Tokyo
Yes,0,Egg Free,2024-03-04,PA008,Business Class,538.8,Perth,New York
Yes,0,Egg Free,2024-12-15,PA009,Economy,1310.0,New York,Tokyo
Yes,3,Vegan,2024-09-25,PA008,First Class,642.0,Perth,New York
Yes,2,Nut Free,2024-02-23,PA002,Premium Economy,547.5,New York,London
Yes,2,Nut Free,2024-01-27,PA004,Premium Economy,1147.5,Perth,London
Yes,2,Egg Free,2024-06-20,PA008,First Class,217.0,Perth,New York
Yes,1,Nut Free,2024-10-14,PA011,Economy,2180.0,Perth,Tokyo
Yes,0,Dairy Free,2024-04-01,PA004,Business Class,261.59999999999997,Perth,London
Yes,1,Dairy Free,2024-08-04,PA011,Economy,1005.0,Perth,Tokyo
Yes,3,Egg Free,2024-04-09,PA007,Premium Economy,842.5,New York,Perth
Yes,0,,2024-08-18,PA002,Premium Economy,1360.0,New York,London
Yes,1,Vegan,2024-04-17,PA002,Economy,1630.0,New York,London
Yes,0,Nut Free,2024-01-15,PA004,Premium Economy,1472.5,Perth,London
Yes,3,Vegan,2024-02-10,PA009,First Class,368.0,New York,Tokyo
Yes,3,Vegan,2024-06-02,PA006,Premium Economy,1735.0,Tokyo,London
Yes,3,Vegan,2024-10-06,PA010,Premium Economy,992.5,Tokyo,New York
Yes,1,Vegetarian,2024-06-03,PA011,First Class,201.0,Perth,Tokyo
Yes,2,Dairy Free,2024-12-10,PA002,Economy,3030.0,New York,London
Yes,2,,2024-12-21,PA001,Business Class,655.1999999999999,London,New York
Yes,0,Dairy Free,2024-09-10,PA011,Business Class,306.0,Perth,Tokyo
Yes,3,Egg Free,2024-03-12,PA006,Economy,3010.0,Tokyo,London
Yes,1,,2024-10-17,PA005,First Class,228.0,London,Tokyo
Yes,3,Dairy Free,2024-08-24,PA003,Economy,1780.0,London,Perth
Yes,2,Vegan,2024-12-11,PA004,First Class,595.0,Perth,London
Yes,3,Nut Free,2024-08-01,PA003,Economy,2170.0,London,Perth
Yes,0,Vegan,2024-07-31,PA010,Premium Economy,1412.5,Tokyo,New York
Yes,2,Nut Free,2024-10-08,PA008,Business Class,249.6,Perth,New York
Yes,1,Egg Free,2024-12-12,PA010,Premium Economy,1437.5,Tokyo,New York
Yes,1,Dairy Free,2024-10-14,PA009,Economy,1360.0,New York,Tokyo
Yes,0,Nut Free,2024-10-25,PA008,First Class,575.0,Perth,New York
Yes,0,,2024-08-07,PA002,Premium Economy,832.5,New York,London
Yes,3,Vegan,2024-12-04,PA004,Economy,2540.0,Perth,London
Yes,2,,2024-07-28,PA005,First Class,263.0,London,Tokyo
Yes,0,Vegan,2024-03-12,PA007,Economy,2640.0,New York,Perth
Yes,3,Vegetarian,2024-05-11,PA003,Economy,2885.0,London,Perth
Yes,1,Nut Free,2024-12-05,PA008,Economy,2200.0,Perth,New York
Yes,0,Dairy Free,2024-03-13,PA001,Premium Economy,1422.5,London,New York
Yes,3,,2024-12-05,PA012,Economy,2230.0,Tokyo,Perth
Yes,0,Vegan,2024-08-21,PA008,First Class,300.0,Perth,New York
Yes,2,,2024-10-31,PA010,Premium Economy,780.0,Tokyo,New York
Yes,1,Dairy Free,2024-11-01,PA009,Premium Economy,1585.0,New York,Tokyo
Yes,1,Egg Free,2024-06-04,PA010,First Class,389.0,Tokyo,New York
Yes,1,Nut Free,2024-06-12,PA012,Business Class,318.0,Tokyo,Perth
Yes,0,,2024-08-13,PA011,Economy,1165.0,Perth,Tokyo
Yes,3,,2024-02-03,PA003,Premium Economy,1095.0,London,Perth
Yes,2,Vegan,2024-08-20,PA005,Premium Economy,1632.5,London,Tokyo
Yes,3,Dairy Free,2024-01-20,PA004,First Class,440.0,Perth,London
Yes,1,Nut Free,2024-05-04,PA007,Premium Economy,1680.0,New York,Perth
Yes,1,Dairy Free,2024-01-03,PA006,Economy,1280.0,Tokyo,London
Yes,1,Egg Free,2024-04-11,PA008,First Class,676.0,Perth,New York
Yes,1,Egg Free,2024-03-21,PA004,Business Class,836.4,Perth,London
Yes,3,Dairy Free,2024-10-09,PA011,Economy,3065.0,Perth,Tokyo
Yes,3,Dairy Free,2024-05-31,PA007,Premium Economy,725.0,New York,Perth
Yes,2,Nut Free,2024-05-19,PA005,Business Class,424.8,London,Tokyo
Yes,0,,2024-01-25,PA012,Business Class,358.8,Tokyo,Perth
Yes,3,Dairy Free,2024-01-02,PA003,Premium Economy,1200.0,London,Perth
Yes,0,Vegan,2024-05-15,PA008,Business Class,427.2,Perth,New York
Yes,0,Dairy Free,2024-04-24,PA010,Economy,2130.0,Tokyo,New York
Yes,2,Vegetarian,2024-04-28,PA002,Business Class,241.2,New York,London
Yes,2,,2024-12-13,PA003,Premium Economy,505.0,London,Perth
Yes,2,Dairy Free,2024-10-20,PA011,First Class,385.0,Perth,Tokyo
Yes,1,Vegan,2024-08-27,PA002,First Class,573.0,New York,London
Yes,3,Vegetarian,2024-11-12,PA003,Economy,2190.0,London,Perth
Yes,1,Vegetarian,2024-07-23,PA009,Business Class,339.59999999999997,New York,Tokyo
Yes,1,,2024-02-22,PA005,Business Class,468.0,London,Tokyo
Yes,0,Vegetarian,2024-09-18,PA001,Economy,1020.0,London,New York
Yes,3,Dairy Free,2024-12-06,PA011,Business Class,601.1999999999999,Perth,Tokyo
Yes,3,Vegetarian,2024-10-10,PA001,Economy,3035.0,London,New York
Yes,2,Nut Free,2024-12-14,PA007,Premium Economy,1305.0,New York,Perth
Yes,0,,2024-11-07,PA006,First Class,252.0,Tokyo,London
Yes,2,Nut Free,2024-03-21,PA003,Business Class,272.4,London,Perth
Yes,2,Vegan,2024-02-26,PA009,Premium Economy,1085.0,New York,Tokyo
Yes,1,Egg Free,2024-07-31,PA012,Premium Economy,817.5,Tokyo,Perth
Yes,1,Egg Free,2024-01-20,PA008,Economy,2330.0,Perth,New York
Yes,1,,2024-08-26,PA007,Economy,2235.0,New York,Perth
Yes,0,,2024-04-05,PA005,Economy,3005.0,London,Tokyo
Yes,0,,2024-01-05,PA010,First Class,681.0,Tokyo,New York
Yes,2,Vegetarian,2024-03-02,PA006,Business Class,558.0,Tokyo,London
Yes,3,Vegetarian,2024-03-06,PA009,Economy,1840.0,New York,Tokyo
Yes,2,Nut Free,2024-04-16,PA012,First Class,506.0,Tokyo,Perth
Yes,1,Vegetarian,2024-05-29,PA007,Business Class,240.0,New York,Perth
Yes,2,Egg Free,2024-01-04,PA002,Premium Economy,1635.0,New York,London
Yes,1,Vegetarian,2024-07-07,PA011,Economy,2590.0,Perth,Tokyo
Yes,2,Vegan,2024-10-06,PA003,Business Class,783.6,London,Perth
Yes,2,,2024-05-03,PA001,Economy,3160.0,London,New York
Yes,0,Egg Free,2024-08-09,PA011,First Class,512.0,Perth,Tokyo
Yes,0,Nut Free,2024-10-27,PA010,Economy,1715.0,Tokyo,New York
Yes,2,Vegan,2024-06-10,PA009,First Class,517.0,New York,Tokyo
Yes,0,Vegetarian,2024-12-20,PA006,Economy,2725.0,Tokyo,London
Yes,1,Dairy Free,2024-11-27,PA012,Economy,2500.0,Tokyo,Perth
Yes,1,Dairy Free,2024-03-23,PA009,Economy,2300.0,New York,Tokyo
Yes,1,Egg Free,2024-07-06,PA003,First Class,305.0,London,Perth
Yes,0,Vegetarian,2024-12-05,PA002,Business Class,499.2,New York,London
Yes,0,Nut Free,2024-07-09,PA012,Economy,1420.0,Tokyo,Perth
Yes,0,,2024-03-31,PA006,First Class,300.0,Tokyo,London
Yes,3,,2024-05-06,PA004,First Class,591.0,Perth,London
Yes,0,,2024-04-10,PA001,Premium Economy,1042.5,London,New York
Yes,1,Vegan,2024-05-16,PA003,Economy,2925.0,London,Perth
Yes,1,Egg Free,2024-12-01,PA008,First Class,340.0,Perth,New York
Yes,1,Vegan,2024-06-26,PA003,Business Class,463.2,London,Perth
Yes,3,Vegetarian,2024-12-21,PA001,Business Class,325.2,London,New York
Yes,1,Vegetarian,2024-07-10,PA007,Economy,1600.0,New York,Perth
Yes,0,Nut Free,2024-12-16,PA006,Premium Economy,1582.5,Tokyo,London
Yes,2,,2024-05-23,PA003,Economy,2045.0,London,Perth
Yes,2,Vegan,2024-08-14,PA004,Premium Economy,742.5,Perth,London
Yes,2,Dairy Free,2024-09-19,PA011,Business Class,332.4,Perth,Tokyo
Yes,2,Vegan,2024-07-06,PA004,Premium Economy,595.0,Perth,London
Yes,3,Vegan,2024-01-23,PA001,Premium Economy,1290.0,London,New York
Yes,2,Vegetarian,2024-07-07,PA008,First Class,348.0,Perth,New York
Yes,2,,2024-11-06,PA001,Economy,1245.0,London,New York
Yes,0,Nut Free,2024-08-19,PA005,Business Class,421.2,London,Tokyo
Yes,0,Dairy Free,2024-05-06,PA002,Premium Economy,912.5,New York,London
Yes,1,Dairy Free,2024-12-17,PA011,First Class,511.0,Perth,Tokyo
Yes,1,Vegan,2024-07-29,PA011,Business Class,337.2,Perth,Tokyo
Yes,1,Vegan,2024-01-08,PA008,Economy,3065.0,Perth,New York
Yes,1,,2024-12-29,PA003,Premium Economy,1107.5,London,Perth
Yes,2,Vegan,2024-08-29,PA006,First Class,476.0,Tokyo,London
Yes,1,Egg Free,2024-04-04,PA012,Business Class,818.4,Tokyo,Perth
Yes,3,Dairy Free,2024-08-09,PA010,First Class,665.0,Tokyo,New York
Yes,1,,2024-04-03,PA004,First Class,427.0,Perth,London
Yes,1,,2024-10-06,PA009,Economy,3165.0,New York,Tokyo
Yes,1,Egg Free,2024-07-14,PA006,First Class,630.0,Tokyo,London
Yes,3,Nut Free,2024-01-05,PA012,First Class,436.0,Tokyo,Perth
Yes,0,Dairy Free,2024-03-22,PA007,Economy,2240.0,New York,Perth
Yes,3,,2024-05-25,PA010,Business Class,674.4,Tokyo,New York
Yes,0,,2024-03-20,PA007,Economy,1170.0,New York,Perth
Yes,1,,2024-10-22,PA001,Premium Economy,952.5,London,New York
Yes,0,Vegetarian,2024-12-24,PA005,First Class,244.0,London,Tokyo
Yes,0,Dairy Free,2024-02-01,PA005,First Class,586.0,London,Tokyo
Yes,3,Vegan,2024-02-20,PA002,Premium Economy,1737.5,New York,London
Yes,2,Dairy Free,2024-07-15,PA006,Premium Economy,1342.5,Tokyo,London
Yes,2,,2024-01-07,PA003,Business Class,462.0,London,Perth
Yes,3,Vegan,2024-07-11,PA002,First Class,494.0,New York,London
Yes,1,Vegetarian,2024-01-08,PA007,Economy,2300.0,New York,Perth
Yes,0,Vegetarian,2024-08-19,PA002,First Class,213.0,New York,London
Yes,1,Vegetarian,2024-06-28,PA009,Economy,2850.0,New York,Tokyo
Yes,1,Vegan,2024-11-23,PA003,First Class,646.0,London,Perth
Yes,2,Egg Free,2024-08-11,PA012,Premium Economy,1140.0,Tokyo,Perth
Yes,0,Egg Free,2024-05-02,PA009,Business Class,706.8,New York,Tokyo
Yes,2,Nut Free,2024-07-18,PA007,Business Class,709.1999999999999,New York,Perth
Yes,2,Nut Free,2024-11-25,PA003,Economy,2155.0,London,Perth
Yes,0,,2024-06-10,PA001,Premium Economy,665.0,London,New York
Yes,2,Dairy Free,2024-10-20,PA001,Business Class,451.2,London,New York
Yes,2,Vegan,2024-04-16,PA009,Business Class,282.0,New York,Tokyo
Yes,0,Dairy Free,2024-12-26,PA006,Economy,2395.0,Tokyo,London
Yes,3,Egg Free,2024-03-26,PA011,First Class,645.0,Perth,Tokyo
Yes,1,Egg Free,2024-06-23,PA007,First Class,666.0,New York,Perth
Yes,1,,2024-09-09,PA012,Business Class,265.2,Tokyo,Perth
Yes,0,Egg Free,2024-08-15,PA006,Economy,1515.0,Tokyo,London
Yes,1,Dairy Free,2024-09-09,PA009,Premium Economy,1557.5,New York,Tokyo
Yes,1,,2024-04-07,PA003,Premium Economy,1727.5,London,Perth
Yes,3,Vegetarian,2024-04-30,PA009,Economy,1220.0,New York,Tokyo
Yes,2,Dairy Free,2024-10-28,PA010,Business Class,796.8,Tokyo,New York
Yes,1,Egg Free,2024-04-16,PA008,Economy,2235.0,Perth,New York
Yes,0,Dairy Free,2024-08-27,PA003,First Class,694.0,London,Perth
Yes,2,Dairy Free,2024-02-06,PA012,Premium Economy,570.0,Tokyo,Perth
Yes,0,Nut Free,2024-09-03,PA009,Premium Economy,840.0,New York,Tokyo
Yes,3,Nut Free,2024-12-31,PA002,Premium Economy,677.5,New York,London
Yes,3,,2024-08-28,PA003,Premium Economy,505.0,London,Perth
Yes,1,Egg Free,2024-10-23,PA001,Economy,1155.0,London,New York
Yes,3,Nut Free,2024-10-02,PA011,Business Class,679.1999999999999,Perth,Tokyo
Yes,1,Vegetarian,2024-04-01,PA008,Premium Economy,1530.0,Perth,New York
Yes,1,Egg Free,2024-05-09,PA002,Economy,2585.0,New York,London
Yes,3,Egg Free,2024-04-25,PA006,Economy,1650.0,Tokyo,London
Yes,2,Egg Free,2024-05-03,PA011,Business Class,627.6,Perth,Tokyo
Yes,3,Vegetarian,2024-06-20,PA001,First Class,456.0,London,New York
Yes,1,Egg Free,2024-10-09,PA012,Premium Economy,980.0,Tokyo,Perth
Yes,3,Egg Free,2024-05-06,PA006,Premium Economy,832.5,Tokyo,London
Yes,1,Vegetarian,2024-08-05,PA007,Economy,1765.0,New York,Perth
Yes,1,Vegan,2024-10-19,PA002,Premium Economy,650.0,New York,London
Yes,3,Nut Free,2024-10-03,PA007,First Class,694.0,New York,Perth
Yes,3,,2024-08-24,PA006,Premium Economy,1447.5,Tokyo,London
Yes,0,Vegetarian,2024-11-19,PA005,First Class,238.0,London,Tokyo
Yes,2,Dairy Free,2024-06-19,PA006,Economy,1705.0,Tokyo,London
Yes,2,Vegetarian,2024-09-11,PA004,Premium Economy,922.5,Perth,London
Yes,2,Dairy Free,2024-07-18,PA008,First Class,395.0,Perth,New York
Yes,2,Vegan,2024-05-03,PA001,First Class,567.0,London,New York
Yes,0,Vegetarian,2024-02-07,PA009,Business Class,421.2,New York,Tokyo
Yes,1,Vegetarian,2024-08-06,PA002,Business Class,586.8,New York,London
Yes,1,Vegan,2024-12-13,PA009,Business Class,604.8,New York,Tokyo
Yes,3,Vegan,2024-07-04,PA007,Premium Economy,1080.0,New York,Perth
Yes,1,Vegan,2024-07-01,PA004,Economy,1235.0,Perth,London
Yes,3,Nut Free,2024-08-13,PA011,Business Class,768.0,Perth,Tokyo
Yes,2,Egg Free,2024-12-16,PA002,Premium Economy,620.0,New York,London
Yes,0,Dairy Free,2024-02-28,PA006,Economy,1695.0,Tokyo,London
Yes,0,Nut Free,2024-11-19,PA002,Business Class,375.59999999999997,New York,London
Yes,1,Dairy Free,2024-02-27,PA009,Business Class,369.59999999999997,New York,Tokyo
Yes,1,Dairy Free,2024-02-08,PA006,Economy,1310.0,Tokyo,London
Yes,1,Vegetarian,2024-02-14,PA010,Premium Economy,1107.5,Tokyo,New York
Yes,1,Vegan,2024-08-15,PA012,Business Class,507.59999999999997,Tokyo,Perth
Yes,1,Egg Free,2024-03-07,PA001,Economy,2960.0,London,New York
Yes,2,Nut Free,2024-10-30,PA010,Business Class,402.0,Tokyo,New York
Yes,3,Dairy Free,2024-05-01,PA002,First Class,277.0,New York,London
Yes,1,Vegan,2024-12-26,PA008,Business Class,475.2,Perth,New York
Yes,2,,2024-07-25,PA012,Economy,3115.0,Tokyo,Perth
Yes,0,Vegetarian,2024-09-07,PA009,Economy,3310.0,New York,Tokyo
Yes,2,,2024-07-22,PA006,Premium Economy,602.5,Tokyo,London
Yes,3,Dairy Free,2024-03-14,PA005,Premium Economy,1457.5,London,Tokyo
Yes,3,Dairy Free,2024-08-27,PA007,Business Class,726.0,New York,Perth
Yes,2,Nut Free,2024-09-23,PA009,Premium Economy,1275.0,New York,Tokyo
Yes,1,Vegan,2024-10-10,PA002,Economy,3000.0,New York,London
Yes,0,Vegan,2024-06-12,PA009,Premium Economy,1715.0,New York,Tokyo
Yes,0,Egg Free,2024-08-31,PA004,First Class,599.0,Perth,London
Yes,0,Vegetarian,2024-01-28,PA001,Premium Economy,1395.0,London,New York
Yes,3,Dairy Free,2024-05-26,PA003,Economy,2455.0,London,Perth
Yes,3,Egg Free,2024-08-28,PA004,Economy,3050.0,Perth,London
Yes,2,Nut Free,2024-01-03,PA011,Economy,3500.0,Perth,Tokyo
Yes,2,Dairy Free,2024-12-23,PA006,Business Class,480.0,Tokyo,London
Yes,3,Vegetarian,2024-11-10,PA007,Premium Economy,1070.0,New York,Perth
Yes,1,Dairy Free,2024-03-26,PA003,Business Class,508.79999999999995,London,Perth
Yes,3,Vegetarian,2024-12-14,PA011,Premium Economy,1310.0,Perth,Tokyo
Yes,3,Dairy Free,2024-07-10,PA005,Business Class,787.1999999999999,London,Tokyo
Yes,1,Nut Free,2024-10-31,PA002,First Class,275.0,New York,London
Yes,1,Nut Free,2024-05-14,PA008,Premium Economy,1477.5,Perth,New York
Yes,0,Vegetarian,2024-04-04,PA009,Economy,3175.0,New York,Tokyo
Yes,2,Dairy Free,2024-06-20,PA006,First Class,200.0,Tokyo,London
Yes,0,,2024-02-13,PA004,Premium Economy,752.5,Perth,London
Yes,2,Egg Free,2024-05-14,PA006,Premium Economy,990.0,Tokyo,London
Yes,0,Nut Free,2024-10-29,PA001,First Class,216.0,London,New York
Yes,1,Vegetarian,2024-02-10,PA005,First Class,681.0,London,Tokyo
Yes,2,Nut Free,2024-08-13,PA008,First Class,506.0,Perth,New York
Yes,0,Vegan,2024-04-03,PA001,Business Class,298.8,London,New York
Yes,1,,2024-06-19,PA009,Premium Economy,1275.0,New York,Tokyo
Yes,3,Egg Free,2024-03-07,PA009,Business Class,332.4,New York,Tokyo
Yes,3,Nut Free,2024-08-30,PA005,Economy,3315.0,London,Tokyo
Yes,0,Vegetarian,2024-06-03,PA002,Economy,1230.0,New York,London
Yes,0,Vegan,2024-10-01,PA002,Economy,2415.0,New York,London
Yes,2,Vegan,2024-04-24,PA012,Premium Economy,535.0,Tokyo,Perth
Yes,0,Vegan,2024-06-20,PA001,Premium Economy,930.0,London,New York
Yes,3,Vegetarian,2024-10-09,PA003,Economy,3415.0,London,Perth
Yes,1,Nut Free,2024-10-20,PA005,First Class,514.0,London,Tokyo
Yes,0,,2024-02-15,PA009,Economy,2980.0,New York,Tokyo
Yes,3,Vegan,2024-01-15,PA008,Business Class,502.79999999999995,Perth,New York
Yes,2,Vegetarian,2024-08-16,PA010,Economy,3265.0,Tokyo,New York
Yes,1,Dairy Free,2024-08-02,PA008,Premium Economy,1550.0,Perth,New York
Yes,1,Vegetarian,2024-07-13,PA005,Economy,1480.0,London,Tokyo
Yes,1,,2024-01-27,PA002,Business Class,489.59999999999997,New York,London
Yes,1,Vegetarian,2024-09-19,PA002,Premium Economy,635.0,New York,London
Yes,3,Egg Free,2024-08-16,PA007,Premium Economy,757.5,New York,Perth
Yes,0,Dairy Free,2024-10-15,PA009,Premium Economy,870.0,New York,Tokyo
Yes,1,Nut Free,2024-03-12,PA007,Business Class,434.4,New York,Perth
Yes,3,Egg Free,2024-04-15,PA003,Business Class,249.6,London,Perth
Yes,3,Vegan,2024-05-13,PA004,Economy,2785.0,Perth,London
Yes,3,Vegan,2024-08-30,PA005,Business Class,811.1999999999999,London,Tokyo
Yes,1,Vegetarian,2024-10-01,PA004,First Class,510.0,Perth,London
Yes,2,Egg Free,2024-05-19,PA010,Premium Economy,1555.0,Tokyo,New York
Yes,3,Vegetarian,2024-06-01,PA009,First Class,274.0,New York,Tokyo
Yes,1,Egg Free,2024-05-11,PA005,Business Class,706.8,London,Tokyo
Yes,0,Dairy Free,2024-09-12,PA008,Economy,1315.0,Perth,New York
Yes,1,Dairy Free,2024-08-23,PA011,Economy,1160.0,Perth,Tokyo
Yes,0,Egg Free,2024-09-23,PA012,Economy,3495.0,Tokyo,Perth
Yes,1,,2024-07-27,PA003,Premium Economy,1232.5,London,Perth
Yes,1,,2024-11-22,PA001,Economy,1030.0,London,New York
Yes,3,Dairy Free,2024-05-29,PA010,Economy,2765.0,Tokyo,New York
Yes,2,Egg Free,2024-02-04,PA008,Economy,1295.0,Perth,New York
Yes,2,Nut Free,2024-09-10,PA012,Business Class,420.0,Tokyo,Perth
Yes,0,Dairy Free,2024-12-21,PA002,Business Class,379.2,New York,London
Yes,0,,2024-12-25,PA003,First Class,473.0,London,Perth
Yes,1,Vegan,2024-07-15,PA011,Premium Economy,1670.0,Perth,Tokyo
Yes,2,Egg Free,2024-12-09,PA003,First Class,602.0,London,Perth
Yes,3,Dairy Free,2024-09-20,PA010,First Class,214.0,Tokyo,New York
Yes,2,Egg Free,2024-12-23,PA009,Premium Economy,952.5,New York,Tokyo
Yes,3,Vegan,2024-11-28,PA005,Economy,2830.0,London,Tokyo
Yes,1,Dairy Free,2024-12-03,PA002,Business Class,710.4,New York,London
Yes,2,Egg Free,2024-03-05,PA004,Economy,2655.0,Perth,London
Yes,0,Egg Free,2024-12-08,PA009,First Class,644.0,New York,Tokyo
Yes,3,Nut Free,2024-07-23,PA004,Economy,1360.0,Perth,London
Yes,2,Vegetarian,2024-03-23,PA011,Premium Economy,572.5,Perth,Tokyo
Yes,3,Egg Free,2024-03-25,PA004,Premium Economy,885.0,Perth,London
Yes,2,Egg Free,2024-05-18,PA008,First Class,625.0,Perth,New York
Yes,2,,2024-03-29,PA002,Economy,1515.0,New York,London
Yes,2,Egg Free,2024-05-29,PA008,Economy,3435.0,Perth,New York
Yes,2,Vegetarian,2024-03-16,PA011,Economy,2305.0,Perth,Tokyo
Yes,1,Dairy Free,2024-08-07,PA006,Business Class,460.79999999999995,Tokyo,London
Yes,0,Nut Free,2024-09-16,PA001,Premium Economy,507.5,London,New York
