StaffID,Salary,Max Tax Rate,20% rate tax paid,40% rate tax paid,45% rate tax paid,Total Tax Paid
2724,119696.60999999999,40% rate,7540.0,27770.643999999997,,35310.644
2965,131473.28,45% rate,7540.0,29948.0,2849.9759999999997,40337.976
1065,105017.34999999999,40% rate,7540.0,21898.94,,29438.94
1202,189307.34,45% rate,7540.0,29948.0,28875.303,66363.303
1044,173533.18000000002,45% rate,7540.0,29948.0,21776.93100000001,59264.93100000001
2054,150247.82,45% rate,7540.0,29948.0,11298.519000000004,48786.519
2690,90803.83000000002,40% rate,7540.0,16213.532000000007,,23753.532000000007
1012,115739.53000000001,40% rate,7540.0,26187.812000000005,,33727.812000000005
1244,169801.37999999998,45% rate,7540.0,29948.0,20097.62099999999,57585.620999999985
2752,123307.86000000002,40% rate,7540.0,29215.144000000008,,36755.14400000001
2946,97238.89000000001,40% rate,7540.0,18787.556000000008,,26327.556000000008
1871,69255.41,40% rate,7540.0,7594.164000000002,,15134.164
2004,170209.12000000002,45% rate,7540.0,29948.0,20281.10400000001,57769.10400000001
2024,115307.13,40% rate,7540.0,26014.852000000003,,33554.852
2759,55327.99000000001,40% rate,7540.0,2023.1960000000051,,9563.196000000005
1124,118334.49,40% rate,7540.0,27225.796000000002,,34765.796
1044,114106.87000000001,40% rate,7540.0,25534.748000000007,,33074.74800000001
1489,51709.93,40% rate,7540.0,575.9720000000001,,8115.972
1352,76316.87999999999,40% rate,7540.0,10418.751999999997,,17958.751999999997
1153,79972.85999999999,40% rate,7540.0,11881.143999999995,,19421.143999999993
2685,147286.67,45% rate,7540.0,29948.0,9966.001500000006,47454.001500000006
2391,177299.91999999998,45% rate,7540.0,29948.0,23471.963999999993,60959.96399999999
2695,45565.92999999999,20% rate,6599.185999999999,,,6599.185999999999
1767,84903.24,40% rate,7540.0,13853.296000000002,,21393.296000000002
1917,30377.920000000006,20% rate,3561.584000000001,,,3561.584000000001
1186,117462.50999999998,40% rate,7540.0,26877.003999999994,,34417.00399999999
1043,139467.50000000003,45% rate,7540.0,29948.0,6447.375000000014,43935.375000000015
2908,155333.57,45% rate,7540.0,29948.0,13587.106500000004,51075.1065
1220,30042.47,20% rate,3494.4940000000006,,,3494.4940000000006
2039,102451.54999999999,40% rate,7540.0,20872.619999999995,,28412.619999999995
2476,52943.350000000006,40% rate,7540.0,1069.3400000000024,,8609.340000000002
2311,179783.46000000005,45% rate,7540.0,29948.0,24589.557000000023,62077.55700000002
1392,112986.59999999999,40% rate,7540.0,25086.64,,32626.64
2048,18445.82,20% rate,1175.164,,,1175.164
1036,202416.24000000002,45% rate,7540.0,29948.0,34774.30800000001,72262.30800000002
1268,119906.95999999999,40% rate,7540.0,27854.784,,35394.784
2567,33786.81,20% rate,4243.362,,,4243.362
2966,141816.08000000002,45% rate,7540.0,29948.0,7504.236000000007,44992.236000000004
2655,141049.33000000002,45% rate,7540.0,29948.0,7159.198500000008,44647.198500000006
1423,81786.32999999999,40% rate,7540.0,12606.531999999996,,20146.531999999996
2284,105083.32999999999,40% rate,7540.0,21925.331999999995,,29465.331999999995
1375,16135.81,20% rate,713.1619999999999,,,713.1619999999999
1371,175931.4,45% rate,7540.0,29948.0,22856.129999999997,60344.13
2663,42330.27,20% rate,5952.054,,,5952.054
1992,19454.01,20% rate,1376.8019999999997,,,1376.8019999999997
1824,31635.470000000005,20% rate,3813.094000000001,,,3813.094000000001
2545,105271.05,40% rate,7540.0,22000.420000000002,,29540.420000000002
2618,37977.54000000001,20% rate,5081.508000000002,,,5081.508000000002
1671,99273.51999999999,40% rate,7540.0,19601.407999999996,,27141.407999999996
2216,123741.40000000001,40% rate,7540.0,29388.560000000005,,36928.560000000005
2698,45096.23,20% rate,6505.246000000001,,,6505.246000000001
1986,21408.54,20% rate,1767.7080000000003,,,1767.7080000000003
2423,23711.97000000001,20% rate,2228.3940000000016,,,2228.3940000000016
1965,51073.37000000001,40% rate,7540.0,321.348000000004,,7861.348000000004
1481,186619.32,45% rate,7540.0,29948.0,27665.694000000003,65153.694
2990,103497.64000000001,40% rate,7540.0,21291.056000000008,,28831.056000000008
2796,165834.61999999997,45% rate,7540.0,29948.0,18312.578999999987,55800.57899999998
2840,80548.87,40% rate,7540.0,12111.547999999999,,19651.548
1784,36407.64,20% rate,4767.528,,,4767.528
2624,50238.899999999994,20% rate,7533.779999999999,,,7533.779999999999
2392,180090.4,45% rate,7540.0,29948.0,24727.679999999997,62215.67999999999
2217,87981.76000000001,40% rate,7540.0,15084.704000000005,,22624.704000000005
1489,18035.14,20% rate,1093.028,,,1093.028
2051,50560.990000000005,40% rate,7540.0,116.3960000000021,,7656.3960000000025
1861,96860.04,40% rate,7540.0,18636.016,,26176.016
2549,61961.28,40% rate,7540.0,4676.512,,12216.511999999999
2560,16664.43,20% rate,818.8860000000001,,,818.8860000000001
2465,191463.97,45% rate,7540.0,29948.0,29845.786500000002,67333.7865
1795,124591.84,40% rate,7540.0,29728.736,,37268.736000000004
1243,145415.62999999998,45% rate,7540.0,29948.0,9124.033499999989,46612.03349999999
2217,86564.54999999997,40% rate,7540.0,14517.81999999999,,22057.819999999992
2091,118183.34000000003,40% rate,7540.0,27165.33600000001,,34705.33600000001
2190,100716.12,40% rate,7540.0,20178.448,,27718.448
1886,53845.79,40% rate,7540.0,1430.3160000000005,,8970.316
2785,169515.61,45% rate,7540.0,29948.0,19969.024499999996,57457.0245
2575,175045.19,45% rate,7540.0,29948.0,22457.3355,59945.3355
1206,78465.22,40% rate,7540.0,11278.088000000002,,18818.088000000003
2730,40322.34,20% rate,5550.468,,,5550.468
1491,28808.320000000003,20% rate,3247.6640000000007,,,3247.6640000000007
1961,53259.14,40% rate,7540.0,1195.6559999999997,,8735.655999999999
2737,19695.05,20% rate,1425.01,,,1425.01
1756,66031.91999999998,40% rate,7540.0,6304.767999999994,,13844.767999999993
2948,16785.079999999998,20% rate,843.0159999999996,,,843.0159999999996
1703,173868.37,45% rate,7540.0,29948.0,21927.766499999998,59415.7665
2950,99513.22,40% rate,7540.0,19697.288,,27237.288
1207,163014.47,45% rate,7540.0,29948.0,17043.5115,54531.5115
1344,40200.619999999995,20% rate,5526.124,,,5526.124
2706,43505.64000000001,20% rate,6187.1280000000015,,,6187.1280000000015
2416,60571.45,40% rate,7540.0,4120.579999999999,,11660.579999999998
2522,72169.04,40% rate,7540.0,8759.615999999998,,16299.615999999998
2505,170150.94,45% rate,7540.0,29948.0,20254.923000000003,57742.923
2267,27486.92,20% rate,2983.384,,,2983.384
2683,70400.14,40% rate,7540.0,8052.0560000000005,,15592.056
2801,111983.66000000002,40% rate,7540.0,24685.464000000007,,32225.464000000007
1850,113413.51999999999,40% rate,7540.0,25257.407999999996,,32797.407999999996
1958,150410.03,45% rate,7540.0,29948.0,11371.5135,48859.5135
2240,18714.96,20% rate,1228.992,,,1228.992
2600,13196.250000000002,20% rate,125.25000000000037,,,125.25000000000037
1041,119779.98999999999,40% rate,7540.0,27803.996,,35343.996
2004,86498.54000000001,40% rate,7540.0,14491.416000000005,,22031.416000000005
2701,59222.11000000001,40% rate,7540.0,3580.8440000000032,,11120.844000000003
1679,135434.28,45% rate,7540.0,29948.0,4632.4259999999995,42120.426
1647,13335.199999999999,20% rate,153.0399999999998,,,153.0399999999998
2501,118973.34,40% rate,7540.0,27481.336,,35021.335999999996
1721,154720.91,45% rate,7540.0,29948.0,13311.409500000002,50799.4095
2594,95556.62,40% rate,7540.0,18114.647999999997,,25654.647999999997
2480,72230.38000000002,40% rate,7540.0,8784.152000000007,,16324.152000000007
1933,64096.06,40% rate,7540.0,5530.423999999999,,13070.423999999999
2689,21141.27,20% rate,1714.2540000000001,,,1714.2540000000001
1516,35629.77000000001,20% rate,4611.954000000002,,,4611.954000000002
2477,113779.02,40% rate,7540.0,25403.608000000004,,32943.60800000001
2921,178529.91999999998,45% rate,7540.0,29948.0,24025.463999999993,61513.46399999999
2534,103519.36,40% rate,7540.0,21299.744000000002,,28839.744000000002
1521,97028.25,40% rate,7540.0,18703.3,,26243.3
2917,152901.88,45% rate,7540.0,29948.0,12492.846000000003,49980.846000000005
1798,31556.650000000005,20% rate,3797.3300000000013,,,3797.3300000000013
2157,89780.29000000001,40% rate,7540.0,15804.116000000004,,23344.116
1732,118170.17,40% rate,7540.0,27160.068,,34700.068
1601,63953.99999999999,40% rate,7540.0,5473.599999999998,,13013.599999999999
2766,43761.09,20% rate,6238.218,,,6238.218
2903,166387.67,45% rate,7540.0,29948.0,18561.451500000006,56049.45150000001
2150,150670.03,45% rate,7540.0,29948.0,11488.5135,48976.5135
1206,147504.35,45% rate,7540.0,29948.0,10063.957500000002,47551.957500000004
2662,14667.609999999999,20% rate,419.52199999999976,,,419.52199999999976
1280,13610.330000000002,20% rate,208.06600000000037,,,208.06600000000037
2817,126422.78999999998,45% rate,7540.0,29948.0,577.2554999999905,38065.25549999999
2443,41980.46,20% rate,5882.092000000001,,,5882.092000000001
1111,159512.89,45% rate,7540.0,29948.0,15467.800500000007,52955.800500000005
2701,148585.68,45% rate,7540.0,29948.0,10550.555999999997,48038.556
2998,62050.24,40% rate,7540.0,4712.096,,12252.096
1876,107204.41999999998,40% rate,7540.0,22773.767999999996,,30313.767999999996
2807,99038.82999999999,40% rate,7540.0,19507.531999999996,,27047.531999999996
1370,181272.65999999995,45% rate,7540.0,29948.0,25259.696999999975,62747.69699999997
1514,81824.26,40% rate,7540.0,12621.703999999998,,20161.703999999998
2310,19754.25,20% rate,1436.8500000000001,,,1436.8500000000001
1960,36654.24999999999,20% rate,4816.8499999999985,,,4816.8499999999985
1721,130548.27999999998,45% rate,7540.0,29948.0,2433.725999999993,39921.725999999995
1032,82969.29,40% rate,7540.0,13079.715999999999,,20619.716
2492,46806.49,20% rate,6847.298,,,6847.298
1612,45890.37000000001,20% rate,6664.074000000002,,,6664.074000000002
2698,111789.58000000002,40% rate,7540.0,24607.83200000001,,32147.83200000001
1173,75032.96,40% rate,7540.0,9905.184000000003,,17445.184
2549,104331.48,40% rate,7540.0,21624.592,,29164.592
2389,167954.68000000002,45% rate,7540.0,29948.0,19266.60600000001,56754.606000000014
2119,102289.56999999999,40% rate,7540.0,20807.827999999998,,28347.827999999998
1613,197157.06,45% rate,7540.0,29948.0,32407.677,69895.677
2064,73983.74,40% rate,7540.0,9485.496000000003,,17025.496000000003
2569,20797.800000000003,20% rate,1645.5600000000006,,,1645.5600000000006
1911,118695.81999999999,40% rate,7540.0,27370.327999999998,,34910.327999999994
1032,199202.05,45% rate,7540.0,29948.0,33327.92249999999,70815.92249999999
2976,161059.05000000002,45% rate,7540.0,29948.0,16163.572500000007,53651.57250000001
1847,42561.89,20% rate,5998.378000000001,,,5998.378000000001
2480,119982.81999999996,40% rate,7540.0,27885.127999999986,,35425.12799999998
2696,91179.40999999999,40% rate,7540.0,16363.763999999996,,23903.763999999996
1595,124870.72,40% rate,7540.0,29840.288,,37380.288
1092,107378.73999999999,40% rate,7540.0,22843.496,,30383.496
1757,153480.13999999998,45% rate,7540.0,29948.0,12753.062999999993,50241.062999999995
2746,128042.56,45% rate,7540.0,29948.0,1306.151999999999,38794.152
2948,22942.47,20% rate,2074.494,,,2074.494
1530,20802.01,20% rate,1646.4019999999998,,,1646.4019999999998
1501,185473.85000000003,45% rate,7540.0,29948.0,27150.232500000016,64638.23250000001
2872,116186.54999999999,40% rate,7540.0,26366.619999999995,,33906.619999999995
2381,13869.270000000002,20% rate,259.85400000000044,,,259.85400000000044
1313,173259.16999999998,45% rate,7540.0,29948.0,21653.626499999995,59141.6265
2345,171759.84,45% rate,7540.0,29948.0,20978.928,58466.928
2927,125913.84,45% rate,7540.0,29948.0,348.2279999999984,37836.227999999996
1912,145928.91999999998,45% rate,7540.0,29948.0,9355.013999999994,46843.013999999996
1239,179765.04,45% rate,7540.0,29948.0,24581.268000000004,62069.268000000004
1768,42932.17,20% rate,6072.434,,,6072.434
1248,96235.85999999999,40% rate,7540.0,18386.343999999994,,25926.343999999994
2152,56727.810000000005,40% rate,7540.0,2583.124000000002,,10123.124000000002
2482,114982.74,40% rate,7540.0,25885.096000000005,,33425.096000000005
1672,186479.97000000006,45% rate,7540.0,29948.0,27602.986500000028,65090.98650000003
1010,111033.29,40% rate,7540.0,24305.316,,31845.316
2798,34368.04,20% rate,4359.608,,,4359.608
1642,75371.65,40% rate,7540.0,10040.659999999998,,17580.659999999996
2588,46942.81,20% rate,6874.562,,,6874.562
1728,66416.63,40% rate,7540.0,6458.652000000002,,13998.652000000002
1674,190373.88999999998,45% rate,7540.0,29948.0,29355.250499999995,66843.2505
2184,157019.54000000004,45% rate,7540.0,29948.0,14345.793000000018,51833.79300000002
1638,191845.68,45% rate,7540.0,29948.0,30017.555999999997,67505.556
2212,59987.530000000006,40% rate,7540.0,3887.0120000000024,,11427.012000000002
2092,110703.04000000001,40% rate,7540.0,24173.216000000004,,31713.216000000004
2343,43295.259999999995,20% rate,6145.052,,,6145.052
1368,46319.03999999999,20% rate,6749.807999999999,,,6749.807999999999
2726,125684.94,45% rate,7540.0,29948.0,245.22300000000106,37733.223
2891,44030.87,20% rate,6292.174000000001,,,6292.174000000001
2004,180327.01000000004,45% rate,7540.0,29948.0,24834.15450000002,62322.15450000002
2282,77253.84000000001,40% rate,7540.0,10793.536000000006,,18333.536000000007
1875,98637.95000000001,40% rate,7540.0,19347.180000000004,,26887.180000000004
2958,114703.48,40% rate,7540.0,25773.392,,33313.392
2687,48326.17,20% rate,7151.234,,,7151.234
1515,24269.710000000003,20% rate,2339.9420000000005,,,2339.9420000000005
1846,31689.69,20% rate,3823.938,,,3823.938
2228,24332.98,20% rate,2352.596,,,2352.596
1815,21108.419999999995,20% rate,1707.683999999999,,,1707.683999999999
1459,128456.0,45% rate,7540.0,29948.0,1492.2,38980.2
2004,150301.16,45% rate,7540.0,29948.0,11322.522000000003,48810.522000000004
2241,56676.51,40% rate,7540.0,2562.604000000001,,10102.604000000001
2703,137928.06,45% rate,7540.0,29948.0,5754.6269999999995,43242.627
1325,124835.72,40% rate,7540.0,29826.288,,37366.288
1587,102197.01999999999,40% rate,7540.0,20770.807999999997,,28310.807999999997
1142,162477.66999999998,45% rate,7540.0,29948.0,16801.951499999992,54289.951499999996
1357,49377.70999999999,20% rate,7361.541999999999,,,7361.541999999999
1692,87860.65,40% rate,7540.0,15036.259999999998,,22576.26
1258,111084.62,40% rate,7540.0,24325.847999999998,,31865.847999999998
2723,12858.810000000001,20% rate,57.76200000000026,,,57.76200000000026
2101,118628.9,40% rate,7540.0,27343.559999999998,,34883.56
2846,168955.51999999996,45% rate,7540.0,29948.0,19716.983999999982,57204.98399999998
2584,34922.61,20% rate,4470.522,,,4470.522
2539,72234.45999999999,40% rate,7540.0,8785.783999999998,,16325.783999999998
2261,27703.360000000004,20% rate,3026.672000000001,,,3026.672000000001
2413,108174.48000000003,40% rate,7540.0,23161.792000000012,,30701.792000000012
2213,53805.23999999999,40% rate,7540.0,1414.0959999999964,,8954.095999999996
2465,77583.33,40% rate,7540.0,10925.332000000002,,18465.332000000002
1747,18820.620000000003,20% rate,1250.1240000000007,,,1250.1240000000007
2187,38470.37,20% rate,5180.0740000000005,,,5180.0740000000005
1442,59781.030000000006,40% rate,7540.0,3804.4120000000025,,11344.412000000002
2131,194074.89,45% rate,7540.0,29948.0,31020.700500000006,68508.7005
2192,152426.69,45% rate,7540.0,29948.0,12279.010500000002,49767.010500000004
2336,103369.59000000001,40% rate,7540.0,21239.836000000007,,28779.836000000007
2155,150803.98,45% rate,7540.0,29948.0,11548.791000000005,49036.791000000005
1597,134790.6,45% rate,7540.0,29948.0,4342.770000000003,41830.770000000004
2516,186297.09999999998,45% rate,7540.0,29948.0,27520.69499999999,65008.69499999999
1255,65207.92000000001,40% rate,7540.0,5975.168000000005,,13515.168000000005
2708,101896.0,40% rate,7540.0,20650.4,,28190.4
2376,117413.82,40% rate,7540.0,26857.528000000006,,34397.528000000006
1272,86381.34,40% rate,7540.0,14444.536,,21984.536
1175,150675.37,45% rate,7540.0,29948.0,11490.916499999998,48978.9165
2224,53400.42,40% rate,7540.0,1252.1679999999994,,8792.168
1414,135836.61000000002,45% rate,7540.0,29948.0,4813.474500000007,42301.474500000004
2942,36047.299999999996,20% rate,4695.459999999999,,,4695.459999999999
1394,136230.5,45% rate,7540.0,29948.0,4990.725,42478.725
2995,134668.02000000002,45% rate,7540.0,29948.0,4287.609000000009,41775.60900000001
1057,75584.83,40% rate,7540.0,10125.932,,17665.932
1442,122411.59000000001,40% rate,7540.0,28856.636000000006,,36396.636000000006
2444,180975.99,45% rate,7540.0,29948.0,25126.195499999998,62614.1955
2173,106291.02000000002,40% rate,7540.0,22408.40800000001,,29948.40800000001
1106,81232.40999999997,40% rate,7540.0,12384.96399999999,,19924.963999999993
1588,26926.280000000002,20% rate,2871.2560000000008,,,2871.2560000000008
1892,71799.23,40% rate,7540.0,8611.692,,16151.692
1828,172115.61,45% rate,7540.0,29948.0,21139.024499999996,58627.0245
1139,188543.5,45% rate,7540.0,29948.0,28531.575,66019.575
1933,106742.82,40% rate,7540.0,22589.128000000004,,30129.128000000004
1549,79319.29000000001,40% rate,7540.0,11619.716000000004,,19159.716000000004
2545,166690.49,45% rate,7540.0,29948.0,18697.720499999996,56185.720499999996
1998,38777.61,20% rate,5241.522000000001,,,5241.522000000001
2536,66071.67,40% rate,7540.0,6320.668,,13860.668
2853,87971.48,40% rate,7540.0,15080.591999999999,,22620.591999999997
2226,111014.73999999999,40% rate,7540.0,24297.895999999997,,31837.895999999997
2977,168334.4,45% rate,7540.0,29948.0,19437.48,56925.479999999996
2507,184697.4,45% rate,7540.0,29948.0,26800.829999999998,64288.83
1927,99752.94999999998,40% rate,7540.0,19793.179999999993,,27333.179999999993
2549,41733.979999999996,20% rate,5832.795999999999,,,5832.795999999999
1645,144910.09999999998,45% rate,7540.0,29948.0,8896.54499999999,46384.54499999999
2921,25756.730000000003,20% rate,2637.346000000001,,,2637.346000000001
2396,49878.869999999995,20% rate,7461.773999999999,,,7461.773999999999
2570,115100.88000000003,40% rate,7540.0,25932.352000000014,,33472.35200000001
2499,64530.869999999995,40% rate,7540.0,5704.347999999998,,13244.347999999998
2638,53392.460000000014,40% rate,7540.0,1248.9840000000056,,8788.984000000006
2427,42240.29,20% rate,5934.058000000001,,,5934.058000000001
2434,152003.37,45% rate,7540.0,29948.0,12088.516499999998,49576.5165
2623,183764.26999999996,45% rate,7540.0,29948.0,26380.921499999982,63868.92149999998
1915,122382.65999999997,40% rate,7540.0,28845.06399999999,,36385.06399999999
2658,49755.53,20% rate,7437.106,,,7437.106
1797,136069.26,45% rate,7540.0,29948.0,4918.167000000004,42406.167
1455,89973.23000000001,40% rate,7540.0,15881.292000000005,,23421.292000000005
1282,186602.58000000002,45% rate,7540.0,29948.0,27658.161000000007,65146.16100000001
1681,90096.27,40% rate,7540.0,15930.508000000002,,23470.508
1639,26772.489999999994,20% rate,2840.497999999999,,,2840.497999999999
1375,91499.53,40% rate,7540.0,16491.812,,24031.812
1092,86423.01999999999,40% rate,7540.0,14461.207999999997,,22001.208
1585,54797.770000000004,40% rate,7540.0,1811.1080000000018,,9351.108000000002
2459,177323.12999999998,45% rate,7540.0,29948.0,23482.40849999999,60970.40849999999
2328,60332.850000000006,40% rate,7540.0,4025.1400000000026,,11565.140000000003
2427,165530.33,45% rate,7540.0,29948.0,18175.648499999996,55663.648499999996
1681,153392.58000000002,45% rate,7540.0,29948.0,12713.661000000007,50201.66100000001
2511,129088.54,45% rate,7540.0,29948.0,1776.8429999999971,39264.84299999999
2980,187773.50999999998,45% rate,7540.0,29948.0,28185.079499999993,65673.07949999999
2557,58851.32000000001,40% rate,7540.0,3432.528000000003,,10972.528000000002
1983,19727.549999999996,20% rate,1431.5099999999993,,,1431.5099999999993
2677,122114.21,40% rate,7540.0,28737.684000000005,,36277.68400000001
1023,88735.89,40% rate,7540.0,15386.356,,22926.356
2048,172658.81000000003,45% rate,7540.0,29948.0,21383.464500000013,58871.46450000002
1296,145496.84,45% rate,7540.0,29948.0,9160.578,46648.578
1888,145271.99999999997,45% rate,7540.0,29948.0,9059.399999999987,46547.39999999999
2149,64072.17999999999,40% rate,7540.0,5520.871999999998,,13060.871999999998
1787,156248.01,45% rate,7540.0,29948.0,13998.604500000005,51486.6045
1803,43907.59999999999,20% rate,6267.519999999999,,,6267.519999999999
2543,55746.91,40% rate,7540.0,2190.7640000000015,,9730.764000000001
2923,95676.31,40% rate,7540.0,18162.524,,25702.524
2676,147932.43,45% rate,7540.0,29948.0,10256.593499999997,47744.593499999995
2952,123985.63999999998,40% rate,7540.0,29486.255999999994,,37026.255999999994
1328,131983.61000000002,45% rate,7540.0,29948.0,3079.6245000000067,40567.624500000005
1369,65195.700000000004,40% rate,7540.0,5970.2800000000025,,13510.280000000002
2580,126986.7,45% rate,7540.0,29948.0,831.0149999999987,38319.015
2140,185642.92999999996,45% rate,7540.0,29948.0,27226.318499999983,64714.31849999998
1000,173197.95,45% rate,7540.0,29948.0,21626.077500000007,59114.07750000001
2417,176182.44,45% rate,7540.0,29948.0,22969.098,60457.098
2205,122824.49,40% rate,7540.0,29021.796000000002,,36561.796
2189,23753.77,20% rate,2236.7540000000004,,,2236.7540000000004
1272,194645.32000000004,45% rate,7540.0,29948.0,31277.39400000002,68765.39400000001
